Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ORF )	Gene names  (primary )	Gene names  (ordered locus )	Gene names  (synonym )
Q12145	CMR3_YEAST	reviewed	Zinc finger protein CRM3 (Changed mutation rate protein 3)	CMR3 YPR013C LPZ12c	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	317	LPZ12c	CMR3	YPR013C	
P41735	COQ7_YEAST	reviewed	5-demethoxyubiquinone hydroxylase, mitochondrial (DMQ hydroxylase) (EC 1.14.99.60) (Catabolite repression protein 5) (Ubiquinone biosynthesis monooxygenase COQ7)	CAT5 COQ7 YOR125C O3284 YOR3284C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	233	O3284 YOR3284C	CAT5	YOR125C	COQ7
P33307	CSE1_YEAST	reviewed	Importin alpha re-exporter (Chromosome segregation protein CSE1)	CSE1 YGL238W HRC135	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	960	HRC135	CSE1	YGL238W	
Q07560	CRD1_YEAST	reviewed	Cardiolipin synthase (CMP-forming) (CLS) (EC 2.7.8.41)	CRD1 CLS1 YDL142C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	283		CRD1	YDL142C	CLS1
P00425	COX5B_YEAST	reviewed	Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)	COX5B YIL111W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	151		COX5B	YIL111W	
Q02895	AAD16_YEAST	reviewed	Putative aryl-alcohol dehydrogenase AAD16 (EC 1.1.1.-)	AAD16 YPL088W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	342		AAD16	YPL088W	
Q07716	AIM6_YEAST	reviewed	Altered inheritance of mitochondria protein 6	AIM6 YDL237W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	390		AIM6	YDL237W	
P40074	AVT6_YEAST	reviewed	Vacuolar amino acid transporter 6	AVT6 YER119C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	448		AVT6	YER119C	
P07251	ATPA_YEAST	reviewed	ATP synthase subunit alpha, mitochondrial	ATP1 YBL099W YBL0827	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	545	YBL0827	ATP1	YBL099W	
P47040	BTN1_YEAST	reviewed	Protein BTN1	YHC3 BTN1 YJL059W J1139	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	408	J1139	YHC3	YJL059W	BTN1
P53323	BUD32_YEAST	reviewed	EKC/KEOPS complex subunit BUD32 (EC 3.6.-.-) (Atypical serine/threonine protein kinase BUD32) (EC 2.7.11.1) (Bud site selection protein 32) (Low-dye-binding protein 14) (piD261)	BUD32 LDB14 YGR262C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261		BUD32	YGR262C	LDB14
Q01532	BLH1_YEAST	reviewed	Cysteine proteinase 1, mitochondrial (EC 3.4.22.40) (Bleomycin hydrolase) (BLM hydrolase) (Homocysteine-thiolactonase) (HTLase) (Hcy-thiolactonase) (Leucine aminopeptidase 3) (Y3)	LAP3 BLH1 GAL6 YCP1 YNL239W N1118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	483	N1118	LAP3	YNL239W	BLH1 GAL6 YCP1
Q12365	BBP1_YEAST	reviewed	Spindle pole component BBP1 (BFR1-binding protein 1)	BBP1 YPL255W P0745	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385	P0745	BBP1	YPL255W	
P53194	BRP1_YEAST	reviewed	Uncharacterized protein BRP1	BRP1 YGL007W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	125		BRP1	YGL007W	
P32562	CDC5_YEAST	reviewed	Cell cycle serine/threonine-protein kinase CDC5/MSD2 (EC 2.7.11.21)	CDC5 MSD2 PKX2 YMR001C YM8270.03C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	705	YM8270.03C	CDC5	YMR001C	MSD2 PKX2
P29465	CHS3_YEAST	reviewed	Chitin synthase 3 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 3) (Class-IV chitin synthase 3)	CHS3 CAL1 CSD2 DIT101 KIT2 YBR023C YBR0305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1165	YBR0305	CHS3	YBR023C	CAL1 CSD2 DIT101 KIT2
P14180	CHS2_YEAST	reviewed	Chitin synthase 2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 2)	CHS2 YBR038W YBR0407	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	963	YBR0407	CHS2	YBR038W	
P53865	CNM67_YEAST	reviewed	Chaotic nuclear migration protein 67	CNM67 YNL225C N1264	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	581	N1264	CNM67	YNL225C	
P38903	2A5D_YEAST	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A, B subunit, B' delta isoform) (Protein RTS1) (Protein SCS1)	RTS1 SCS1 YOR014W OR26.04	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	757	OR26.04	RTS1	YOR014W	SCS1
Q00362	2ABA_YEAST	reviewed	Protein phosphatase PP2A regulatory subunit B (Cell division control protein 55) (PR55)	CDC55 YGL190C G1345	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	526	G1345	CDC55	YGL190C	
P38285	AMN1_YEAST	reviewed	Antagonist of mitotic exit network protein 1 (Chromosome stability protein 13) (Increased copper-sensitivity protein 4)	AMN1 CST13 ICS4 YBR158W YBR1208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	549	YBR1208	AMN1	YBR158W	CST13 ICS4
P52893	ALAM_YEAST	reviewed	Probable alanine aminotransferase, mitochondrial (EC 2.6.1.2) (Glutamate pyruvate transaminase) (GPT) (Glutamic--alanine transaminase) (Glutamic--pyruvic transaminase)	ALT1 YLR089C L9449.15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	592	L9449.15	ALT1	YLR089C	
Q08702	APTX_YEAST	reviewed	Aprataxin-like protein (EC 3.6.1.71) (EC 3.6.1.72) (Hit family protein 3)	HNT3 YOR258W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	217		HNT3	YOR258W	
P54074	ASI1_YEAST	reviewed	Protein ASI1 (Amino acid sensor-independent protein 1)	ASI1 YMR119W YM8564.01 YM9718.18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	624	YM8564.01 YM9718.18	ASI1	YMR119W	
P40024	ARB1_YEAST	reviewed	ABC transporter ATP-binding protein ARB1 (ATP-binding cassette protein involved in ribosome biogenesis 1)	ARB1 YER036C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	610		ARB1	YER036C	
P38346	BIT2_YEAST	reviewed	Probable target of rapamycin complex 2 subunit BIT2 (TORC2 subunit BIT2) (Binding partner of TOR2 protein 2)	BIT2 YBR270C YBR1738	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	545	YBR1738	BIT2	YBR270C	
P53958	BOP3_YEAST	reviewed	Protein BOP3 (Bypass of PAM1 protein 3)	BOP3 YNL042W N2670	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	396	N2670	BOP3	YNL042W	
Q06150	BOP2_YEAST	reviewed	Protein BOP2 (Bypass of PAM1 protein 2)	BOP2 YLR267W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	570		BOP2	YLR267W	
P53615	CAN_YEAST	reviewed	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase) (Non-classical export protein 3)	NCE103 NCE3 YNL036W N2695	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	221	N2695	NCE103	YNL036W	NCE3
P06115	CATT_YEAST	reviewed	Catalase T (EC 1.11.1.6)	CTT1 YGR088W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	562		CTT1	YGR088W	
P32943	CGS6_YEAST	reviewed	S-phase entry cyclin-6	CLB6 YGR109C G5970	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	380	G5970	CLB6	YGR109C	
P25694	CDC48_YEAST	reviewed	Cell division control protein 48 (EC 3.6.4.6) (Cell division cycle protein 48) (Transitional endoplasmic reticulum ATPase homolog)	CDC48 YDL126C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	835		CDC48	YDL126C	
Q06139	CIS1_YEAST	reviewed	Citrinin resistance protein, mitochondrial (Citrinin sensitive knockout protein 1)	CIS1 YLR346C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	101		CIS1	YLR346C	
P50944	AVT4_YEAST	reviewed	Vacuolar amino acid transporter 4	AVT4 YNL101W N2185	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	713	N2185	AVT4	YNL101W	
P25627	BUD23_YEAST	reviewed	18S rRNA (guanine(1575)-N(7))-methyltransferase (EC 2.1.1.309) (Bud site selection protein 23)	BUD23 YCR047C YCR47C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	275	YCR47C	BUD23	YCR047C	
P12630	BAR1_YEAST	reviewed	Barrierpepsin (EC 3.4.23.35) (BAR proteinase) (Extracellular 'barrier' protein)	BAR1 SST1 YIL015W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	587		BAR1	YIL015W	SST1
P53838	BOR1_YEAST	reviewed	Boron transporter 1	BOR1 YNL275W N0626	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	576	N0626	BOR1	YNL275W	
Q02948	BECN1_YEAST	reviewed	Vacuolar protein sorting-associated protein 30 (Autophagy-related protein 6)	VPS30 APG6 ATG6 VPT30 YPL120W LPH7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	557	LPH7	VPS30	YPL120W	APG6 ATG6 VPT30
P48582	BRO1_YEAST	reviewed	Vacuolar-sorting protein BRO1 (Amino acid sensor-independent protein 6) (BCK1-like resistance to osmotic shock protein 1) (BRO domain-containing protein 1) (Nitrogen permease inactivating protein 3) (Vacuolar protein-sorting-associated protein 31)	BRO1 ASI6 LPF2 NPI3 VPS31 YPL084W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	844		BRO1	YPL084W	ASI6 LPF2 NPI3 VPS31
P07245	C1TC_YEAST	reviewed	C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	ADE3 YGR204W G7733	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	946	G7733	ADE3	YGR204W	
P39011	BEM4_YEAST	reviewed	Bud emergence protein 4	BEM4 YPL161C P2561	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	633	P2561	BEM4	YPL161C	
P43571	BST1_YEAST	reviewed	GPI inositol-deacylase (EC 3.1.-.-) (Bypass of SEC30 protein 1)	BST1 YFL025C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1029		BST1	YFL025C	
P07258	CARA_YEAST	reviewed	Carbamoyl-phosphate synthase arginine-specific small chain (CPS-A) (EC 6.3.5.5) (Arginine-specific carbamoyl-phosphate synthetase, glutamine chain)	CPA1 YOR303W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	411		CPA1	YOR303W	
P21269	CCA1_YEAST	reviewed	CCA tRNA nucleotidyltransferase, mitochondrial (EC 2.7.7.72) (CCA-adding enzyme) (tRNA CCA-pyrophosphorylase) (tRNA adenylyltransferase) (tRNA nucleotidyltransferase)	CCA1 TNT1 YER168C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	546		CCA1	YER168C	TNT1
P43569	CAF16_YEAST	reviewed	CCR4-associated factor 16	CAF16 YFL028C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	289		CAF16	YFL028C	
P37267	CBP4_YEAST	reviewed	Assembly factor CBP4 (Cytochrome b mRNA-processing protein 4)	CBP4 YGR174C G7122	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	147	G7122	CBP4	YGR174C	
P32797	CDC13_YEAST	reviewed	Cell division control protein 13	CDC13 YDL220C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	924		CDC13	YDL220C	
O13547	CCW14_YEAST	reviewed	Covalently-linked cell wall protein 14 (Inner cell wall protein)	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238	YLR391W-A	CCW14	YLR390W-A	ICWP SSR1
P38273	CCZ1_YEAST	reviewed	Vacuolar fusion protein CCZ1 (Autophagy-related protein 11) (Calcium-caffeine-zinc sensitivity protein 1) (Cytoplasm to vacuole targeting protein 16)	CCZ1 AUT11 CVT16 YBR131W YBR1006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	704	YBR1006	CCZ1	YBR131W	AUT11 CVT16
P38170	CND2_YEAST	reviewed	Condensin complex subunit 2 (Barren homolog) (CAPH homolog)	BRN1 YBL097W YBL0830	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	754	YBL0830	BRN1	YBL097W	
P53178	ALG13_YEAST	reviewed	UDP-N-acetylglucosamine transferase subunit ALG13 (EC 2.4.1.141) (Asparagine-linked glycosylation protein 13)	ALG13 YGL047W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	202		ALG13	YGL047W	
P15274	AMPD_YEAST	reviewed	AMP deaminase (EC 3.5.4.6) (Myoadenylate deaminase)	AMD1 AMD YML035C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	810		AMD1	YML035C	AMD
P18239	ADT2_YEAST	reviewed	ADP,ATP carrier protein 2 (ADP/ATP translocase 2) (Adenine nucleotide translocator 2) (ANT 2) (Petite colonies protein 9)	PET9 AAC2 YBL030C YBL0421	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	318	YBL0421	PET9	YBL030C	AAC2
P40351	ALG8_YEAST	reviewed	Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase)	ALG8 YOR067C YOR29-18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	577	YOR29-18	ALG8	YOR067C	
P46672	ARC1_YEAST	reviewed	tRNA-aminoacylation cofactor ARC1 (Acyl-RNA-complex protein 1) (GU4 nucleic-binding protein 1) (G4p1 protein) (P42) (tRNA-interacting factor ARC1)	ARC1 G4P1 YGL105W G3085	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	376	G3085	ARC1	YGL105W	G4P1
P47064	AP3S_YEAST	reviewed	AP-3 complex subunit sigma (AP-3 complex sigma3A subunit) (Adaptor-related protein complex 3 subunit sigma) (Clathrin-associated/assembly/adaptor protein, small 3) (Sigma-adaptin 3A) (Sigma3-adaptin)	APS3 YKS7 YJL024C J1274	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	194	J1274	APS3	YJL024C	YKS7
P00854	ATP6_YEAST	reviewed	ATP synthase subunit a (F-ATPase protein 6)	ATP6 OLI2 OLI4 PHO1 Q0085	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	259		ATP6	Q0085	OLI2 OLI4 PHO1
P39960	BEM2_YEAST	reviewed	GTPase-activating protein BEM2/IPL2 (Bud emergence protein 2)	BEM2 IPL2 SUP9 YER155C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2167		BEM2	YER155C	IPL2 SUP9
P37366	CCL1_YEAST	reviewed	Cyclin CCL1	CCL1 YPR025C YP9367.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393	YP9367.05C	CCL1	YPR025C	
Q2V2P8	CENPW_YEAST	reviewed	Inner kinetochore subunit WIP1 (CENP-W homolog) (Constitutive centromere-associated network protein WIP1) (W-like protein 1)	WIP1 YDR374W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	89		WIP1	YDR374W-A	
P38779	CIC1_YEAST	reviewed	Proteasome-interacting protein CIC1 (Core interacting component 1)	CIC1 NSA3 YHR052W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	376		CIC1	YHR052W	NSA3
P19073	CDC42_YEAST	reviewed	Cell division control protein 42 (Suppressor of RHO3 protein 2)	CDC42 SRO2 YLR229C L8083.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	191	L8083.13	CDC42	YLR229C	SRO2
O13297	CET1_YEAST	reviewed	mRNA-capping enzyme subunit beta (EC 3.1.3.33) (Polynucleotide 5'-triphosphatase) (mRNA 5'-triphosphatase) (TPase)	CET1 YPL228W P1433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	549	P1433	CET1	YPL228W	
Q3E7B2	COA3_YEAST	reviewed	Cytochrome c oxidase assembly factor 3, mitochondrial (Cytochrome c oxidase protein 25) (Required for respiratory growth protein 10)	COA3 COX25 RRG10 YJL062W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	85		COA3	YJL062W-A	COX25 RRG10
P38872	ADY1_YEAST	reviewed	Prospore formation at selected spindle poles protein 1 (Accumulates dyads protein 1)	PFS1 ADY1 YHR185C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	237		PFS1	YHR185C	ADY1
Q12433	AHC1_YEAST	reviewed	Protein AHC1 (ADA HAT complex component 1)	AHC1 YOR023C OR26.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	566	OR26.13	AHC1	YOR023C	
P54114	ALDH3_YEAST	reviewed	Aldehyde dehydrogenase [NAD(P)+] 2 (EC 1.2.1.3)	ALD3 ALD4 YMR169C YM8520.18C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	506	YM8520.18C	ALD3	YMR169C	ALD4
Q12233	ATPN_YEAST	reviewed	ATP synthase subunit g, mitochondrial (ATPase subunit g)	ATP20 YPR020W YP9531.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	115	YP9531.14	ATP20	YPR020W	
P41697	BUD6_YEAST	reviewed	Bud site selection protein 6 (Actin-interacting protein 3)	BUD6 AIP3 YLR319C L8543.5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	788	L8543.5	BUD6	YLR319C	AIP3
P13517	CAPZB_YEAST	reviewed	F-actin-capping protein subunit beta	CAP2 YIL034C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	287		CAP2	YIL034C	
P53836	CA120_YEAST	reviewed	CCR4-NOT transcriptional complex subunit CAF120 (120 kDa CCR4-associated factor)	CAF120 YNL278W N0610	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1060	N0610	CAF120	YNL278W	
P00729	CBPY_YEAST	reviewed	Carboxypeptidase Y (CPD-Y) (cpY) (EC 3.4.16.5) (Carboxypeptidase YSCY)	PRC1 YMR297W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	532		PRC1	YMR297W	
P36038	CBT1_YEAST	reviewed	Cytochrome b termination protein 1	CBT1 SOC1 YKL208W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	271		CBT1	YKL208W	SOC1
Q06632	CFT1_YEAST	reviewed	Protein CFT1 (Cleavage factor two protein 1)	CFT1 YHH1 YDR301W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1357		CFT1	YDR301W	YHH1
P33313	CNS1_YEAST	reviewed	Hsp70/Hsp90 co-chaperone CNS1 (Cyclophilin seven suppressor 1) (STI1 stress-inducible protein homolog)	CNS1 YBR155W YBR1205	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385	YBR1205	CNS1	YBR155W	
P47182	AAD10_YEAST	reviewed	Putative aryl-alcohol dehydrogenase AAD10 (EC 1.1.1.-)	AAD10 YJR155W J2245	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	288	J2245	AAD10	YJR155W	
Q2V2Q1	ADF1_YEAST	reviewed	Antisense of depressing factor protein 1	ADF1 YCL058W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	113		ADF1	YCL058W-A	
P40350	ALG5_YEAST	reviewed	Dolichyl-phosphate beta-glucosyltransferase (DolP-glucosyltransferase) (EC 2.4.1.117) (Asparagine-linked glycosylation protein 5)	ALG5 YPL227C P1437	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	334	P1437	ALG5	YPL227C	
P52910	ACS2_YEAST	reviewed	Acetyl-coenzyme A synthetase 2 (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acyl-activating enzyme 2)	ACS2 YLR153C L9634.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	683	L9634.10	ACS2	YLR153C	
P40851	AXL1_YEAST	reviewed	Putative protease AXL1 (EC 3.4.24.-)	AXL1 YPR122W P9642.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1208	P9642.4	AXL1	YPR122W	
P38934	BFR1_YEAST	reviewed	Nuclear segregation protein BFR1 (Brefeldin A resistance protein 1)	BFR1 YOR198C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	470		BFR1	YOR198C	
P31386	ATS1_YEAST	reviewed	Protein KTI13 (Alpha-tubulin suppressor 1) (Kluyveromyces lactis toxin-insensitive protein 13)	ATS1 KTI13 YAL020C FUN28 YAL006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	333	FUN28 YAL006	ATS1	YAL020C	KTI13
P48445	BPL1_YEAST	reviewed	Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]	BPL1 ACC2 YDL141W D2140	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	690	D2140	BPL1	YDL141W	ACC2
Q07442	BDF2_YEAST	reviewed	Bromodomain-containing factor 2	BDF2 YDL070W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	638		BDF2	YDL070W	
P80235	CACM_YEAST	reviewed	Putative mitochondrial carnitine O-acetyltransferase (EC 2.3.1.7)	YAT1 YAR035W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	687		YAT1	YAR035W	
Q12748	CENPI_YEAST	reviewed	Inner kinetochore subunit CTF3 (CENP-I homolog) (Chromosome loss protein 3) (Chromosome transmission fidelity protein 3) (Constitutive centromere-associated network protein CTF3)	CTF3 CHL3 YLR381W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	733		CTF3	YLR381W	CHL3
P35201	CENPC_YEAST	reviewed	Inner kinetochore subunit MIF2 (CENP-C homolog) (Constitutive centromere-associated network protein MIF2) (Mitotic fidelity of chromosome transmission protein 2)	MIF2 YKL089W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	549		MIF2	YKL089W	
P40986	CDC1_YEAST	reviewed	Cell division control protein 1 (EC 3.1.-.-)	CDC1 DSR1 ESP2 YDR182W YD9395.16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	491	YD9395.16	CDC1	YDR182W	DSR1 ESP2
